epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13461.7,1.47259,1.27767,1.48413,0.81571,0.61797,0.73037,0.44928,1.29866,0.9338,1.32374,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13875.4,1.45586,1.25879,1.47986,0.81932,0.6281,0.73765,0.45453,1.30538,0.90765,1.32426,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14298.6,1.45737,1.27257,1.48437,0.81767,0.63005,0.74248,0.45975,1.29858,0.91353,1.32038,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14712.5,1.45323,1.2429,1.47294,0.81432,0.62967,0.73696,0.46213,1.28848,0.8931,1.31479,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15128,1.44392,1.22773,1.46646,0.82318,0.63092,0.73865,0.46176,1.28318,0.8978,1.316,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15542,1.43375,1.21979,1.45747,0.81198,0.64098,0.74482,0.46623,1.28315,0.89846,1.30317,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15955.9,1.43511,1.21524,1.45692,0.82644,0.63466,0.74438,0.46813,1.27694,0.88107,1.30673,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16369.4,1.43595,1.20858,1.46101,0.81543,0.64655,0.74834,0.4709,1.26203,0.8725,1.2979,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,16784.2,1.42826,1.21745,1.45529,0.8409,0.63863,0.75294,0.46931,1.27037,0.86593,1.30183,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17197.5,1.42207,1.19019,1.45098,0.81987,0.64347,0.75377,0.47336,1.25619,0.85984,1.29027,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17611.1,1.41845,1.19024,1.4476,0.84025,0.64748,0.76006,0.47868,1.24546,0.85041,1.28309,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18030.9,1.40839,1.18624,1.44022,0.83991,0.63973,0.75633,0.47728,1.25326,0.85383,1.29277,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,18450.6,1.39945,1.15411,1.42668,0.82856,0.6524,0.75876,0.47741,1.25152,0.84056,1.28803,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,18866.9,1.39364,1.14712,1.42728,0.82064,0.66329,0.76514,0.48135,1.24611,0.8348,1.2862,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19289.7,1.40253,1.15893,1.43515,0.83563,0.65269,0.76334,0.48005,1.25145,0.83804,1.28806,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19721.9,1.38372,1.13659,1.41696,0.83306,0.65492,0.76296,0.48146,1.24232,0.83284,1.28109,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20146.7,1.38321,1.13107,1.42238,0.84718,0.65433,0.76825,0.48629,1.2406,0.82179,1.28158,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
